Title,Company,Location,Salary,Link,Summary
Frontend Developer (Javascript/React),Bepro Company,서울,,https://kr.indeed.com/viewjob?jk=,참고 - React JS (Web) / Kotlin (Android) / Swift (iOS) - Python + Django - AWS lambda + API gateway - MySQL - Google Cloud...
2020 Market Data Analyst - Seoul (Korean Speaker),Bloomberg,서울,,https://kr.indeed.com/viewjob?jk=,"languages (e.g. Python, R, JavaScript... programming/scripting languages (e.g. Python, R, JavaScript, Java) as well as SQL..."
iOS Developer,Bepro Company,서울,"연봉 40,000,000원 - 80,000,000원",https://kr.indeed.com/viewjob?jk=,참고 - React JS (Web) / Kotlin (Android) / Swift (iOS) - Python + Django - AWS lambda + API gateway - MySQL - Google Cloud...
데이터 분석가 (Business Intelligence Analyst),코스닥 상장 중견 게임기업,서울 강남구,"연봉 40,000,000원 - 70,000,000원",https://kr.indeed.com/viewjob?jk=,"데이터 분석 결과를 쉽게 이해할 수 있도록 간결하고 명확한 의사전달 능력 [우대조건] * R, Python, Spark 등의 언어에 대한 이해도 * 모바일 앱SDK 연동 지원 업무 경험(Facebook, Admob..."
Software Engineer Intern,Intel,서울,,https://kr.indeed.com/viewjob?jk=,"environment Preferred Qualifications - Programming skills with Python - Understanding of operating systems, system software..."
[TmaxAI/R&D] AI본부 R&D 개발 연구원 신입/경력 (병역특례...,티맥스소프트,서울,,https://kr.indeed.com/viewjob?jk=,"석사 이상 학위 소지자만 가능 (현 전문연구요원 근무자 전직 가능) 우대사항 R&D 연구경력 개발자 우대 - Python 프로그래밍 유경험자 우대 - 머신러닝, 딥러닝 연구경력 (PyTorch, Tensorflow) 우대..."
플랫폼Back-end 개발자,국내 대기업(제조/유통),서울,,https://kr.indeed.com/viewjob?jk=,"end 개발 업무 5년 이상 • 필수조건 * 대용량 시스템 설계 및 개발 경력 * Java, Spring, Python 기반 Web Application 개발 및 운영 경력 * MongoDB, ElasticSearch 등..."
AI/빅데이터/클라우드 분야 (인재 Pool),LG유플러스,서울,,https://kr.indeed.com/viewjob?jk=,"Science를 위한 언어(R/ Python) 및 Tool(scikit-learn/Tensorflow 등) 능숙자 . Deep Learning Model 구현 경험자 . Java, Python등을 이용하여 분석을 위한 Data..."
Software Engineer,Google,서울,,https://kr.indeed.com/viewjob?jk=,"languages including... limited to: C++, Java, C and Python. Experience in a wide variety of projects utilizing natural..."
[Clova] Clova AI 인재,네이버,서울,,https://kr.indeed.com/viewjob?jk=,"산시스템 등 CS 핵심 전공 지식 관련한 수준 높은 이해 Git을 능숙하게 사용 백엔드 서버 구현 역량 ( Python, Golang, Java Spring, node.js 등) Mobile App 개발 Objective..."
Deep Learning R&D Engineer,Intel,서울,,https://kr.indeed.com/viewjob?jk=,TensorFlow and PyTorch - Strong programming skills with Python Preferred Qualifications - Experience as a deep learning...
mmWave HW Design Engineer,Apple,서울,,https://kr.indeed.com/viewjob?jk=,"Momentum Programming and scripting languages... C, Java, Python, MySQL, or MATLAB Description - Collaborate closely..."
빅데이터 분석/서비스 담당자,케이뱅크은행,서울 종로구,,https://kr.indeed.com/viewjob?jk=,"이터 분석 실무 경력 2년 이상 - 데이터마이닝, 로그분석, 모형 개발 업무 경험자 우대사항 - SQL/R/ Python 활용 중상급 이상 - 데이터 분석 기반의 문제 해결 경험 및 컨설팅 경험자 근무조건 [근무조건] - 근무..."
[대형보험사] 변액헤지 담당 (대리-차장급),커리어라임즈,서울,,https://kr.indeed.com/viewjob?jk=,"이상 (필수) - 금융공학 관련 지식, 프로그래밍 역량(C++,C#, Python,VBA,DB 등) (필수) - CFA, FRM 등(우대) 커리어라임즈... 지식, 프로그래밍 역량(C++,C#, Python,VBA,DB 등) (필수..."
Data Scientist,Boston Consulting Group,서울,,https://kr.indeed.com/viewjob?jk=,"analysis a plus, Programming... scripting exp.: eg. Python, C#, VBA, Java, Perl, etc. Experience in applied analytics..."
"IT Analyst, E-Commerce",Procter & Gamble,서울,,https://kr.indeed.com/viewjob?jk=,"Social Media Ad, DMP/DSP) Basic Programming (e.g. C++/Java/ Python) or Application development skills (e.g. website, mobile..."
[전문연구요원] 상시,네이버,서울,,https://kr.indeed.com/viewjob?jk=,"Tool Engineer ㅇ Python/C/C++ 언어 개발 용이 ㅇ... Design, Debugging Skills ㅇ스크립트 언어 개발 경험 ( Python, Bash, etc.) ㅇ Embedded Platform과..."
2020년 하반기 경력사원 (IT(Digital Transformatio...,LG상사,서울 종로구,,https://kr.indeed.com/viewjob?jk=,"경험(JavaScript, jQuery, Angular, Vue 등) 서버 개발 경험(PHP, ASP, Python, Node 등), 데이터베이스 개발 경험(SQL, SQLite, MongoDB 등), Git 활용 협업..."
Staff AE,Synopsys,서울,,https://kr.indeed.com/viewjob?jk=,"enhancement of advanced technology rule decks using TCL, Python or Perl. Key Qualification The person should have minimum 12..."
데이터분석가(팀장급),리디,서울,,https://kr.indeed.com/viewjob?jk=,"대한 이해 및 활용 가능 데이터에 기반한 사고 능력 비즈니스 데이터 분석 실무 경험 데이터 처리 언어 (R, Python, Scala) 사용 경험 추가 정보 우대 사항 데이터 분석팀 리딩 경험 리디 서비스 사용 경험 통계..."
데이터 분석가(팀원급),리디,서울,,https://kr.indeed.com/viewjob?jk=,"이해 및 활용 가능 데이터에 기반한 사고 능력 비즈니스 데이터 분석 실무 경험 데이터 처리 언어 (R, Python, Scala) 사용 경험 추가 정보 우대 사항 리디 서비스 사용 경험 통계 모델링 또는 머신러닝 경험..."
Support Engineer,Microsoft,서울,,https://kr.indeed.com/viewjob?jk=,"Linux script-based development environments and tools (PERL, Python, Ruby, PhP, etc.) Programming language (C++/C#) Please..."
